GISYEARJOIN,IDyear_x,LAT,LON,AREA,Nviolations,Was complaint,Inspection Number,CrimeIsArson,CrimeIsOther,Structure_fire,Vehicle_fire,External_fire,Year Property Built,Assessed Land Value,Number of Units,Lot Area,COMH,COMM,COMO,COMR,GOVT,IND,MISC,MRES,SRES,UnkownUseType,A,B,C,D,S,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008,H8C001,H8C002,H8C003,H8C004,H8C005,H8C006,H8C007,H8C008,H8C009,IFC001,IFF001,IFF002,IFF003,IFF004,Urban,SF_pred,VF_pred,EF_pred,minyr,maxyr,sdyr,resunits
G060075002130020022017,2017,37.750066499999996,-122.44107509999999,16958.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1930.8809523809525,340202.0952380953,1.261904761904762,2489.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.7857142857142857,0.0,0.0,0.0,0.0,1.0,0.0,112,99,4,0,4,0,1,4,62,22,15,7,2,5,40,27,13,65,62,28,14,20,1,1.0,0.0,0.0,1895.0,1989.0,25.519982436241907,48.0
G060075002130020002017,2017,37.7501958,-122.438933,16823.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1911.5,385534.0,1.375,2760.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,1.0,0.0,152,123,0,5,19,0,1,4,64,36,29,7,1,6,28,16,12,64,64,34,6,24,1,0.0,0.0,0.0,1880.0,2000.0,25.888351884293915,46.0
G060075002050030042017,2017,37.7567937,-122.43627009999999,17020.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1925.645161290323,557035.9354838709,1.8064516129032255,2825.709677419354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,0.7419354838709677,0.0,0.0,0.0,0.0,1.0,0.0,137,123,2,0,10,0,2,0,72,21,14,7,5,2,51,26,25,76,72,30,11,31,1,0.0,0.0,0.0,1885.0,1991.0,24.61662139247569,41.0
G060075002120010032017,2017,37.7535291,-122.4370498,16415.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1910.5,383158.8260869565,1.2391304347826086,2174.9728260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2826086956521739,0.7173913043478259,0.0,0.0,0.0,0.0,1.0,0.0,157,127,2,1,16,0,2,9,68,32,24,8,2,6,36,19,17,74,68,37,5,26,1,0.0,0.0,1.0,1890.0,2011.0,24.339944142184173,52.0
G060075002110040012017,2017,37.755758,-122.43340020000001,17523.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1903.3636363636365,340777.36363636365,1.5454545454545454,2656.1712121212117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,152,139,1,0,7,0,0,5,71,27,21,6,2,4,44,24,20,76,71,36,9,26,1,0.0,0.0,0.0,1890.0,1954.0,9.165054661613024,48.0
G060075002110040022017,2017,37.7549585,-122.4333237,17336.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1905.35,280011.275,1.8,2488.9405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,165,128,0,1,17,0,11,8,88,37,36,1,1,0,51,38,13,96,88,29,17,42,1,0.0,0.0,0.0,1878.0,1959.0,14.140721339450819,51.0
G060075002160010052017,2017,37.7457689,-122.43262450000002,39680.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1951.553846153846,396036.6461538462,1.4923076923076923,2422.713846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3384615384615385,0.6615384615384615,0.0,0.0,0.0,0.0,1.0,0.0,320,249,7,0,41,0,4,19,187,46,40,6,2,4,141,93,48,197,187,63,16,108,1,0.0,0.0,0.0,1900.0,2005.0,29.194849910316528,86.0
G060075002170020172017,2017,37.73498789999999,-122.4391125,9233.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1935.2142857142856,164650.7857142857,1.0,2639.087142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29,21,0,0,2,0,0,6,14,6,2,4,1,3,8,6,2,14,14,9,0,5,1,0.0,0.0,0.0,1930.0,1950.0,5.604648776871601,14.0
G060075002160010122017,2017,37.7436326,-122.4344795,17705.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1920.7777777777774,355676.77777777775,1.1111111111111112,2733.6666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,1.0,0.0,86,70,2,0,5,0,4,5,34,18,14,4,1,3,16,9,7,37,34,21,5,8,1,0.0,0.0,0.0,1900.0,2011.0,39.48772812240419,35.0
G060075002170030102017,2017,37.739158200000006,-122.435783,24417.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1959.875,220569.28125,1.0,2742.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,175,72,47,0,32,1,14,9,71,42,30,12,3,9,29,23,6,75,71,17,12,42,1,0.0,0.0,0.0,1907.0,2013.0,20.2348558856383,39.0
G060075002170020012017,2017,37.7370698,-122.4354976,6285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1923.5263157894735,232342.8947368421,1.1578947368421053,2537.7368421052633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.8947368421052632,0.0,0.0,0.0,0.0,1.0,0.0,38,29,7,0,2,0,0,0,19,8,5,3,2,1,11,9,2,22,19,8,6,5,1,0.0,0.0,0.0,1900.0,1980.0,27.06446711311641,19.0
G060075002170030092017,2017,37.737493799999996,-122.433121,41269.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,1950.7727272727273,286606.7954545455,1.0,2528.8636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,338,150,95,3,23,0,35,32,153,91,40,51,14,37,62,47,15,157,153,42,7,104,1,1.0,0.0,0.0,1927.0,1978.0,6.693783503270187,48.0
G060075002180040082017,2017,37.7342585,-122.4343787,4907.0,0.0,0.0,2.0,0.0,23.0,0.0,0.0,0.0,1914.909090909091,320331.9090909091,2.1818181818181817,3001.605454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909093,0.4545454545454545,0.4545454545454545,0.0,0.0,0.0,0.0,1.0,0.0,38,32,4,0,2,0,0,0,21,7,5,2,0,2,14,10,4,21,21,3,0,18,1,0.0,0.0,0.0,1890.0,1948.0,15.456096178883884,11.0
G060075002180040142017,2017,37.7334292,-122.43197269999999,994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075002060020012017,2017,37.757645700000005,-122.4290889,16087.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,1924.875,345772.41666666674,2.375,2852.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4583333333333333,0.5416666666666666,0.0,0.0,0.0,0.0,1.0,0.0,140,131,1,0,8,0,0,0,90,17,16,1,0,1,73,56,17,101,90,28,6,56,1,0.0,0.0,1.0,1885.0,1986.0,21.888181621929856,44.0
G060075002260010192017,2017,37.7624061,-122.38870320000001,1398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075098090010162017,2017,37.751172100000005,-122.3928439,16877.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,1963.333333333333,170449.33333333337,0.6666666666666666,3158.776666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1949.0,1979.0,12.124355652982153,5.0
G060075006140020152017,2017,37.7535196,-122.39152279999999,4463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075098090010362017,2017,37.7483549,-122.38739790000001,1573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075098090011152017,2017,37.7444584,-122.3885564,17105.0,0.0,0.0,2.0,1.0,7.0,0.0,1.0,1.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0,1951.0,1963.0,5.744562646538053,4.0
G060075098090011282017,2017,37.739658500000004,-122.3901108,16354.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,1955.666666666667,24313.33333333333,0.6666666666666666,3017.666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1912.0,2007.0,28.391117546788372,10.0
G060075002320030022017,2017,37.732400399999996,-122.39060220000002,13464.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,1.0,1927.7586206896551,161617.24137931035,1.5862068965517242,2573.586206896552,0.0,0.0,0.06896551724137931,0.03448275862068965,0.06896551724137931,0.0,0.0,0.20689655172413796,0.6206896551724138,0.0,0.03448275862068965,0.0,0.03448275862068965,0.9310344827586208,0.0,97,22,50,0,9,2,11,3,32,16,7,9,1,8,16,11,5,37,32,9,2,21,1,0.0,0.0,0.0,1907.0,2013.0,23.987038670781107,32.0
